	title	year	certificate	runtime	genre	imdb_rating	votes	metascore	gross
0	Железный человек	2008	12+	126	['Action', 'Adventure', 'Sci-Fi']	7.9	1079985	79	318412101
1	Звёздные войны. Эпизод 6: Возвращение джедая	1983	0+	131	['Action', 'Adventure', 'Fantasy']	8.3	1075108	58	309125409
2	Вверх	2009	0+	96	['Animation', 'Adventure', 'Comedy']	8.3	1066760	88	293004164
3	Дэдпул	2016	18+	108	['Action', 'Comedy']	8.0	1064807	65	363070709
4	В поисках Немо	2003	0+	100	['Animation', 'Adventure', 'Comedy']	8.2	1064187	90	380843261
5	Храброе сердце	1995	16+	178	['Biography', 'Drama', 'History']	8.4	1054013	68	75600000
6	Сияние	1980	18+	146	['Drama', 'Horror']	8.4	1046476	66	44017374
7	Бешеные псы	1992	18+	99	['Crime', 'Thriller']	8.3	1040713	81	2832029
8	Вечное сияние чистого разума	2004	16+	108	['Drama', 'Romance', 'Sci-Fi']	8.3	1029162	89	34400301
9	Безумный Макс: Дорога ярости	2015	16+	120	['Action', 'Adventure', 'Sci-Fi']	8.1	1027457	90	154058340
10	Пролетая над гнездом кукушки	1975	16+	133	['Drama']	8.7	1026683	84	112000000
11	Поймай меня, если сможешь	2002	12+	141	['Biography', 'Crime', 'Drama']	8.1	1017624	75	164615351
12	История игрушек	1995	6+	81	['Animation', 'Adventure', 'Comedy']	8.3	1015545	96	191796233
13	Парк юрского периода	1993	6+	127	['Action', 'Adventure', 'Sci-Fi']	8.2	1011597	68	402453882
14	Шестое чувство	1999	12+	107	['Drama', 'Mystery', 'Thriller']	8.2	1009296	64	293506292
15	Исчезнувшая	2014	18+	149	['Drama', 'Mystery', 'Thriller']	8.1	1006263	79	167767189
16	Умница Уилл Хантинг	1997	16+	126	['Drama', 'Romance']	8.3	1000727	70	138433435
17	Старикам тут не место	2007	16+	122	['Crime', 'Drama', 'Thriller']	8.2	998918	92	74283625
18	Индиана Джонс: В поисках утраченного ковчега	1981	0+	115	['Action', 'Adventure']	8.4	984112	85	248159971
19	Игры разума	2001	12+	135	['Biography', 'Drama']	8.2	948640	72	170742341
20	Звёздные войны: Пробуждение Силы	2015	12+	138	['Action', 'Adventure', 'Sci-Fi']	7.8	945865	80	936662225
21	Голодные игры	2012	14+	142	['Action', 'Adventure', 'Sci-Fi']	7.2	945656	68	408010692
22	Корпорация монстров	2001	6+	92	['Animation', 'Adventure', 'Comedy']	8.1	929834	79	289916256
23	Чужой	1979	18+	117	['Horror', 'Sci-Fi']	8.5	901297	89	78900000
24	Одержимость	2014	16+	106	['Drama', 'Music']	8.5	900663	89	13092000
25	Крепкий орешек	1988	16+	132	['Action', 'Thriller']	8.2	899812	72	83008852
26	Гарри Поттер и Дары смерти: Часть II	2011	12+	130	['Adventure', 'Family', 'Fantasy']	8.1	898308	85	381011219
27	Терминатор	1984	16+	107	['Action', 'Sci-Fi']	8.1	883528	84	38400000
28	Мстители: Эра Альтрона	2015	12+	141	['Action', 'Adventure', 'Sci-Fi']	7.3	883335	66	459005868
29	1+1	2011	14+	112	['Biography', 'Comedy', 'Drama']	8.5	879450	57	13182281
30	Марсианин	2015	16+	144	['Adventure', 'Drama', 'Sci-Fi']	8.0	877185	80	228433663
31	Большой куш	2000	16+	104	['Comedy', 'Crime']	8.2	872311	55	30328156
32	Железный человек 3	2013	12+	130	['Action', 'Adventure', 'Sci-Fi']	7.1	867647	62	409013994
33	Тор	2011	12+	115	['Action', 'Fantasy']	7.0	866212	57	181030624
34	Первый мститель: Другая война	2014	12+	136	['Action', 'Adventure', 'Sci-Fi']	7.8	864511	70	259766572
35	Лицо со шрамом	1983	18+	170	['Crime', 'Drama']	8.3	863698	65	45598982
36	Первый мститель	2011	12+	124	['Action', 'Adventure', 'Sci-Fi']	6.9	862702	66	176654505
37	Таксист	1976	18+	114	['Crime', 'Drama']	8.2	861120	94	28262574
38	Реквием по мечте	2000	18+	102	['Drama']	8.3	859945	71	3635482
39	Миллионер из трущоб	2008	14+	120	['Crime', 'Drama', 'Romance']	8.0	857743	84	141319928
40	Пианист	2002	16+	150	['Biography', 'Drama', 'Music']	8.5	853629	85	32572577
41	История игрушек 3	2010	0+	103	['Animation', 'Adventure', 'Comedy']	8.3	853149	92	415004880
42	Паразиты	2019	18+	132	['Drama', 'Thriller']	8.5	849978	96	53367844
43	A Clockwork Orange	1971	18+	136	['Crime', 'Sci-Fi']	8.3	846252	77	6207725
44	Хоббит: Нежданное путешествие	2012	12+	169	['Adventure', 'Fantasy']	7.8	842838	58	303003568
45	Гравитация	2013	12+	91	['Drama', 'Sci-Fi', 'Thriller']	7.7	839584	96	274092705
46	Человек-паук	2002	12+	121	['Action', 'Adventure', 'Sci-Fi']	7.4	836289	73	403706375
47	Отель «Гранд Будапешт»	2014	16+	99	['Adventure', 'Comedy', 'Crime']	8.1	835971	88	59100318
48	300 спартанцев	2006	16+	117	['Action', 'Drama']	7.6	835193	52	210614939
49	Железный человек 2	2010	12+	124	['Action', 'Sci-Fi']	6.9	835075	57	312433331
50	Выживший	2015	18+	156	['Action', 'Adventure', 'Drama']	8.0	825988	76	183637894
51	Большой Лебовски	1998	18+	117	['Comedy', 'Crime']	8.1	825545	71	17498804
52	Звёздные войны. Эпизод 1: Скрытая угроза	1999	0+	136	['Action', 'Adventure', 'Fantasy']	6.5	823007	51	474544677
53	Донни Дарко	2001	18+	113	['Drama', 'Mystery', 'Sci-Fi']	8.0	818015	88	1480006
54	12 рaзгневанных мужчин	1957	16+	96	['Crime', 'Drama']	9.0	810461	97	4360000
55	Звёздные войны. Эпизод 3: Месть Ситхов	2005	12+	140	['Action', 'Adventure', 'Fantasy']	7.6	809907	68	380262555
56	Первый мститель: Противостояние	2016	12+	147	['Action', 'Sci-Fi']	7.8	809277	75	408084349
57	Гарри Поттер и философский камень	2001	12+	152	['Adventure', 'Family', 'Fantasy']	7.6	807125	65	317575550
58	Мальчишник в Вегасе	2009	16+	100	['Comedy']	7.7	806000	73	277322503
59	Чёрная Пантера	2018	16+	134	['Action', 'Adventure', 'Sci-Fi']	7.3	799957	88	700059566
60	Человек-паук: Нет пути домой	2021	12+	148	['Action', 'Adventure', 'Fantasy']	8.2	792119	71	804747988
61	Гран Торино	2008	16+	116	['Drama']	8.1	788297	72	148095302
62	Игра в имитацию	2014	12+	114	['Biography', 'Drama', 'Thriller']	8.0	787492	71	91125683
63	Унесённые призраками	2001	12+	125	['Animation', 'Adventure', 'Family']	8.6	787093	96	10055859
64	Чёрный лебедь	2010	16+	108	['Drama', 'Thriller']	8.0	787099	79	106954678
65	Бегущий по лезвию	1982	14+	117	['Action', 'Drama', 'Sci-Fi']	8.1	786232	84	32868943
66	Логан	2017	18+	137	['Action', 'Drama', 'Sci-Fi']	8.1	785143	77	226277068
67	Человек из стали	2013	12+	143	['Action', 'Adventure', 'Sci-Fi']	7.1	784998	55	291045518
68	Город грехов	2005	16+	124	['Crime', 'Thriller']	8.0	778403	74	74103820
69	Я легенда	2007	12+	101	['Action', 'Drama', 'Horror']	7.2	778326	65	256386216
70	Хороший, плохой, злой	1966	12+	161	['Adventure', 'Western']	8.8	775609	90	6100000
71	Однажды в... Голливуде	2019	18+	161	['Comedy', 'Drama']	7.6	775158	83	142502728
72	Тор: Рагнарёк	2017	16+	130	['Action', 'Adventure', 'Comedy']	7.9	773463	74	315058289
73	Убить Билла 2	2004	18+	137	['Action', 'Crime', 'Thriller']	8.0	772581	83	66208183
74	Индиана Джонс и последний крестовый поход	1989	0+	127	['Action', 'Adventure']	8.2	769474	65	197171806
75	Город Бога	2002	16+	130	['Crime', 'Drama']	8.6	769447	79	7563397
76	Амели	2001	12+	122	['Comedy', 'Romance']	8.3	768568	69	33225499
77	Рататуй	2007	0+	111	['Animation', 'Adventure', 'Comedy']	8.1	763517	96	206445654
78	Доктор Стрэндж	2016	12+	115	['Action', 'Adventure', 'Fantasy']	7.5	763430	72	232641920
79	Как приручить дракона	2010	6+	98	['Animation', 'Action', 'Adventure']	8.1	759340	75	217581231
80	Суперсемейка	2004	12+	115	['Animation', 'Action', 'Adventure']	8.0	759159	90	261441092
81	Цельнометаллическая оболочка	1987	18+	116	['Drama', 'War']	8.3	757120	78	46357676
82	Пленницы	2013	16+	153	['Crime', 'Drama', 'Mystery']	8.1	742927	70	61002302
83	Пираты Карибского моря: Сундук мертвеца	2006	12+	151	['Action', 'Adventure', 'Fantasy']	7.3	735208	53	423315812
84	Головоломка	2015	6+	95	['Animation', 'Adventure', 'Comedy']	8.1	734087	94	356461711
85	Чужой 2	1986	16+	137	['Action', 'Adventure', 'Sci-Fi']	8.4	731124	84	85160248
86	Звёздные войны. Эпизод 2: Атака клонов	2002	0+	142	['Action', 'Adventure', 'Fantasy']	6.6	727821	54	310675583
87	Достать ножи	2019	16+	130	['Comedy', 'Crime', 'Drama']	7.9	725030	82	165359751
88	Люди Икс: Дни минувшего будущего	2014	12+	132	['Action', 'Adventure', 'Sci-Fi']	7.9	723989	75	233921534
89	Социальная сеть	2010	12+	120	['Biography', 'Drama']	7.8	721620	95	96962694
90	Мой парень - псих	2012	16+	122	['Comedy', 'Drama', 'Romance']	7.7	720625	81	132092958
91	Прибытие	2016	16+	116	['Drama', 'Mystery', 'Sci-Fi']	7.9	716802	81	100546139
92	12 лет рабства	2013	16+	134	['Biography', 'Drama', 'History']	8.1	714534	96	56671993
93	Бэтмен против Супермена: На заре справедливости	2016	12+	151	['Action', 'Adventure', 'Sci-Fi']	6.4	711172	44	330360194
94	Жизнь прекрасна	1997	0+	116	['Comedy', 'Drama', 'Romance']	8.6	709663	59	57598247
95	007: Координаты «Скайфолл»	2012	16+	143	['Action', 'Adventure', 'Thriller']	7.8	708705	81	304360277
96	Стражи Галактики. Часть 2	2017	16+	136	['Action', 'Adventure', 'Comedy']	7.6	706669	67	389813101
97	Люди Икс: Первый класс	2011	12+	131	['Action', 'Sci-Fi']	7.7	703842	65	146408305
98	На игле	1996	18+	93	['Drama']	8.1	699927	83	16501785
99	Малышка на миллион	2004	16+	132	['Drama', 'Sport']	8.1	698957	86	100492203
100	Отряд самоубийц	2016	16+	123	['Action', 'Adventure', 'Fantasy']	5.9	698121	40	325100054
101	Тор 2: Царство тьмы	2013	12+	112	['Action', 'Adventure', 'Fantasy']	6.8	698098	54	206362140
102	Шрэк	2001	6+	90	['Animation', 'Adventure', 'Comedy']	7.9	697997	84	267665011
103	Грань будущего	2014	12+	113	['Action', 'Adventure', 'Sci-Fi']	7.9	697602	71	100206256
104	Бэтмен	2022	16+	176	['Action', 'Crime', 'Drama']	7.8	696563	72	369345583
105	Район No 9	2009	14+	112	['Action', 'Sci-Fi', 'Thriller']	7.9	693905	81	115646235
106	Фарго	1996	16+	98	['Crime', 'Thriller']	8.1	691399	86	24611975
107	Король говорит!	2010	14+	118	['Biography', 'Drama', 'History']	8.0	691016	88	138797449
108	Человек-муравей	2015	12+	117	['Action', 'Comedy', 'Sci-Fi']	7.3	690671	64	180202163
109	Джон Уик	2014	16+	101	['Action', 'Crime', 'Thriller']	7.4	689093	68	43037835
110	Психо	1960	16+	109	['Horror', 'Mystery', 'Thriller']	8.5	686096	97	32000000
111	Война миров Z	2013	12+	116	['Action', 'Adventure', 'Horror']	7.0	686077	63	202359711
112	Kingsman: Секретная служба	2014	18+	129	['Action', 'Adventure', 'Comedy']	7.7	684471	60	128261724
113	2001 год: Космическая одиссея	1968	12+	149	['Adventure', 'Sci-Fi']	8.3	683784	84	56954992
114	Голодные игры: И вспыхнет пламя	2013	12+	146	['Action', 'Adventure', 'Sci-Fi']	7.5	682325	76	424668047
115	Апокалипсис сегодня	1979	18+	147	['Drama', 'Mystery', 'War']	8.4	680848	94	83471511
116	Дюнкерк	2017	16+	106	['Action', 'Drama', 'History']	7.8	680299	94	188373161
117	Лабиринт Фавна	2006	14+	118	['Drama', 'Fantasy', 'War']	8.2	679897	98	37634615
118	Хоббит: Пустошь Смауга	2013	12+	161	['Fantasy']	7.8	677857	66	258366855
119	Человек-паук: Возвращение домой	2017	16+	133	['Action', 'Adventure', 'Sci-Fi']	7.4	677600	73	334201140
120	Иллюзия обмана	2013	12+	115	['Crime', 'Mystery', 'Thriller']	7.2	677046	50	117723989
121	Чудо-женщина	2017	16+	141	['Action', 'Adventure', 'Fantasy']	7.4	673069	76	412563408
122	Схватка	1995	16+	170	['Action', 'Crime', 'Drama']	8.3	672428	76	67436818
123	Дюна	2021	12+	155	['Action', 'Adventure', 'Drama']	8.0	671513	74	108327830
124	Новый Человек-паук	2012	12+	136	['Action', 'Adventure', 'Sci-Fi']	6.9	670857	66	262030663
125	Человек-паук 2	2004	12+	127	['Action', 'Adventure', 'Sci-Fi']	7.4	670571	83	373585825
126	Казино Рояль	2006	12+	144	['Action', 'Adventure', 'Thriller']	8.0	669891	80	167445960
127	Загадочная история Бенджамина Баттона	2008	12+	166	['Drama', 'Fantasy', 'Romance']	7.8	666555	70	127509326
128	Пираты Карибского моря: На краю света	2007	12+	169	['Action', 'Adventure', 'Fantasy']	7.1	665669	50	309420425
129	Драйв	2011	18+	100	['Action', 'Drama']	7.8	662426	78	35061555
130	Изгой-один. Звёздные войны: Истории	2016	12+	133	['Action', 'Adventure', 'Sci-Fi']	7.8	656187	65	532177324
131	Мир Юрского периода	2015	12+	124	['Action', 'Adventure', 'Sci-Fi']	6.9	655784	59	652270625
132	Гарри Поттер и тайная комната	2002	16+	161	['Adventure', 'Family', 'Fantasy']	7.4	654846	63	261988482
133	Гарри Поттер и узник Азкабана	2004	16+	142	['Adventure', 'Family', 'Fantasy']	7.9	653880	82	249358727
134	Американский психопат	2000	18+	102	['Crime', 'Drama', 'Horror']	7.6	653319	64	15070285
135	Трансформеры	2007	12+	144	['Action', 'Adventure', 'Sci-Fi']	7.0	650298	61	319246193
136	День сурка	1993	12+	101	['Comedy', 'Drama', 'Fantasy']	8.0	649126	72	70906973
137	Шерлок Холмс	2009	12+	128	['Action', 'Adventure', 'Mystery']	7.6	647263	57	209028679
138	Звёздные войны: Последние джедаи	2017	16+	152	['Action', 'Adventure', 'Fantasy']	6.9	646484	84	620181382
139	Гарри Поттер и кубок огня	2005	12+	157	['Adventure', 'Family', 'Fantasy']	7.7	645309	81	290013036
140	Бёрдмэн	2014	16+	119	['Comedy', 'Drama']	7.7	644461	87	42340598
141	Жизнь Пи	2012	6+	127	['Adventure', 'Drama', 'Fantasy']	7.9	644208	79	124987023
142	Ультиматум Борна	2007	16+	115	['Action', 'Mystery', 'Thriller']	8.0	643355	85	227471070
143	Прочь	2017	18+	104	['Horror', 'Mystery', 'Thriller']	7.7	638449	85	176040665
144	Холодное сердце	2013	6+	102	['Animation', 'Adventure', 'Comedy']	7.4	638290	75	400738009
145	Она	2013	16+	126	['Drama', 'Romance', 'Sci-Fi']	8.0	634186	91	25568251
146	В диких условиях	2007	16+	148	['Adventure', 'Biography', 'Drama']	8.1	634087	73	18354356
147	12 обезьян	1995	R	129	['Mystery', 'Sci-Fi', 'Thriller']	8.0	628547	74	57141459
148	Третий лишний	2012	18+	106	['Comedy']	6.9	628334	62	218815487
149	Люди Икс	2000	12+	104	['Action', 'Adventure', 'Sci-Fi']	7.3	626475	64	157299717
150	Операция «Арго»	2012	16+	120	['Biography', 'Drama', 'Thriller']	7.7	623970	86	136025503
151	Челюсти	1975	16+	124	['Adventure', 'Mystery', 'Thriller']	8.1	622116	87	260000000
152	Омерзительная восьмерка	2015	18+	168	['Crime', 'Drama', 'Mystery']	7.8	621818	68	54117416
153	Прометей	2012	16+	124	['Adventure', 'Mystery', 'Sci-Fi']	7.0	620794	64	126477084
154	1917	2019	16+	119	['Action', 'Drama', 'War']	8.2	618227	78	159227644
155	Заложница	2008	16+	90	['Action', 'Crime', 'Thriller']	7.8	613724	51	145000989
156	Ла-Ла Ленд	2016	16+	128	['Comedy', 'Drama', 'Music']	8.0	613442	94	151101803
157	Звёздный путь	2009	12+	127	['Action', 'Adventure', 'Sci-Fi']	7.9	609781	82	257730019
158	Изгой	2000	12+	143	['Adventure', 'Drama', 'Romance']	7.8	608008	73	233632142
159	Матрица: Перезагрузка	2003	16+	138	['Action', 'Sci-Fi']	7.2	607573	62	281492479
160	Человек-паук 3: Враг в отражении	2007	12+	139	['Action', 'Adventure', 'Sci-Fi']	6.3	606181	59	336530303
161	Один дома	1990	12+	103	['Comedy', 'Family']	7.7	603235	63	285761243
162	Дэдпул 2	2018	18+	119	['Action', 'Adventure', 'Comedy']	7.6	603039	66	324591735
163	Бегущий по лезвию 2049	2017	18+	164	['Action', 'Drama', 'Mystery']	8.0	601043	81	92054159
164	Нефть	2007	16+	158	['Drama']	8.2	601005	93	40222514
165	Гарри Поттер и орден Феникса	2007	12+	138	['Action', 'Adventure', 'Family']	7.5	599650	71	292004738
166	SuperПерцы	2007	18+	113	['Comedy']	7.6	598592	76	121463226
167	Рокки	1976	16+	120	['Drama', 'Sport']	8.1	596854	70	117235247
168	Олдбой	2003	18+	120	['Action', 'Drama', 'Mystery']	8.4	594609	77	707481
169	История игрушек 2	1999	6+	92	['Animation', 'Adventure', 'Comedy']	7.9	594288	88	245852179
170	Добро пожаловать в Zомбилэнд	2009	16+	88	['Action', 'Comedy', 'Horror']	7.6	594093	73	75590286
171	Карты, деньги, два ствола	1998	18+	107	['Action', 'Comedy', 'Crime']	8.1	594078	66	3897569
172	Секреты Лос-Анджелеса	1997	16+	138	['Crime', 'Drama', 'Mystery']	8.2	592199	91	64616940
173	Одиннадцать друзей Оушена	2001	12+	116	['Crime', 'Thriller']	7.7	590002	74	183417150
174	Области тьмы	2011	16+	105	['Sci-Fi', 'Thriller']	7.4	587920	59	79249455
175	Дневник памяти	2004	16+	123	['Drama', 'Romance']	7.8	586871	53	81001787
176	Петля времени	2012	18+	119	['Action', 'Drama', 'Sci-Fi']	7.4	586223	84	66486205
177	День независимости	1996	12+	145	['Action', 'Adventure', 'Sci-Fi']	7.0	585625	59	306169255
178	Люди в чёрном	1997	0+	98	['Action', 'Adventure', 'Comedy']	7.3	583098	71	250690539
179	Casablanca	1942	6+	102	['Drama', 'Romance', 'War']	8.5	582373	100	1024560
180	Топ Ган: Мэверик	2022	16+	130	['Action', 'Drama']	8.3	581799	78	718732821
181	Капитан Марвел	2019	16+	123	['Action', 'Adventure', 'Sci-Fi']	6.8	577435	64	426829839
182	Пипец	2010	14+	117	['Action', 'Comedy', 'Crime']	7.6	574371	66	48071303
183	Мачо и ботан	2012	16+	109	['Action', 'Comedy', 'Crime']	7.2	573771	69	138447667
184	Зомби по имени Шон	2004	16+	99	['Comedy', 'Horror']	7.9	570240	76	13542874
185	Оно	2017	18+	135	['Horror']	7.3	567760	69	327481748
186	Стрингер	2014	18+	117	['Crime', 'Drama', 'Thriller']	7.8	567741	76	32381218
187	Гарри Поттер и Дары смерти: Часть I	2010	12+	146	['Adventure', 'Family', 'Fantasy']	7.7	566404	65	295983305
188	The Kashmir Files	2022	170 min	170	['Drama']	8.7	565981	0	0
189	Малыш на драйве	2017	18+	113	['Action', 'Crime', 'Drama']	7.6	564410	86	107825862
190	Особое мнение	2002	16+	145	['Action', 'Crime', 'Mystery']	7.6	564321	80	132072926
191	Великий Гэтсби	2013	16+	143	['Drama', 'Romance']	7.2	564079	55	144840419
192	Кровавый алмаз	2006	18+	143	['Adventure', 'Drama', 'Thriller']	8.0	562736	64	57366262
193	Гарри Поттер и Принц-полукровка	2009	16+	153	['Action', 'Adventure', 'Family']	7.6	562726	78	301959197
194	Хранители	2009	16+	162	['Action', 'Drama', 'Mystery']	7.6	562056	56	107509799
195	Из машины	2014	R	108	['Drama', 'Sci-Fi', 'Thriller']	7.7	560435	78	25442958
196	Человек-паук: Через Вселенные	2018	6+	117	['Animation', 'Action', 'Adventure']	8.4	560093	87	190241310
197	Люди Икс 2	2003	12+	134	['Action', 'Sci-Fi', 'Thriller']	7.4	560048	68	214949694
198	Зодиак	2007	16+	157	['Crime', 'Drama', 'Mystery']	7.7	560044	79	33080084
199	Гадкий я	2010	0+	95	['Animation', 'Adventure', 'Comedy']	7.6	559798	72	251513985
200	Идентификация Борна	2002	16+	119	['Action', 'Mystery', 'Thriller']	7.9	557915	68	121661683
201	Не смотрите наверх	2021	18+	138	['Comedy', 'Drama', 'Sci-Fi']	7.2	556198	49	0
202	Богемская рапсодия	2018	18+	134	['Biography', 'Drama', 'Music']	7.9	554640	49	216428042
203	Я, робот	2004	12+	115	['Action', 'Mystery', 'Sci-Fi']	7.1	553668	59	144801023
204	Монти Пайтон и священный Грааль	1975	91 min	91	['Adventure', 'Comedy', 'Fantasy']	8.2	550886	91	1229197
205	Тихое место	2018	16+	90	['Drama', 'Horror', 'Sci-Fi']	7.5	547651	82	188024361
206	По соображениям совести	2016	18+	139	['Biography', 'Drama', 'History']	8.1	547529	71	67209615
207	Троя	2004	16+	163	['Drama']	7.3	547223	56	133378256
208	Назад в будущее 2	1989	12+	108	['Adventure', 'Comedy', 'Sci-Fi']	7.8	546833	57	118500000
209	Хоббит: Битва пяти воинств	2014	6+	144	['Adventure', 'Fantasy']	7.4	546635	59	255119788
210	Пираты Карибского моря: На странных берегах	2011	12+	137	['Action', 'Adventure', 'Fantasy']	6.6	540434	45	241063875
211	Восстание планеты обезьян	2011	14+	105	['Action', 'Drama', 'Sci-Fi']	7.6	539439	68	176760185
212	Обливион	2013	12+	124	['Action', 'Adventure', 'Sci-Fi']	7.0	536711	54	89021735
213	Казино	1995	18+	178	['Crime', 'Drama']	8.2	533293	73	42438300
214	Эта дурацкая любовь	2011	PG-13	118	['Comedy', 'Drama', 'Romance']	7.4	532756	68	84351197
215	Джуно	2007	12+	96	['Comedy', 'Drama']	7.5	532195	81	143495265
216	Тайна Коко	2017	12+	105	['Animation', 'Adventure', 'Comedy']	8.4	531600	81	209726015
217	Исходный код	2011	12+	93	['Action', 'Drama', 'Mystery']	7.5	530244	74	54712227
218	500 дней летa	2009	PG-13	95	['Comedy', 'Drama', 'Romance']	7.7	529553	76	32391374
219	В погоне за счастьем	2006	12+	117	['Biography', 'Drama']	8.0	529329	64	163566459
220	Довод	2020	16+	150	['Action', 'Sci-Fi', 'Thriller']	7.3	528364	69	58456624
221	Люди Икс: Последняя битва	2006	12+	104	['Action', 'Adventure', 'Sci-Fi']	6.6	526143	58	234362462
222	Человек дождя	1988	16+	133	['Drama']	8.0	525828	65	178800000
223	Хорошо быть тихоней	2012	16+	103	['Drama']	7.9	525379	67	17742948
224	Три билборда на границе Эббинга, Миссури	2017	18+	115	['Comedy', 'Crime', 'Drama']	8.1	524682	88	54513740
225	Матрица: Революция	2003	16+	129	['Action', 'Sci-Fi']	6.7	524661	47	139313948
226	Заклятие	2013	16+	112	['Horror', 'Mystery', 'Thriller']	7.5	523517	68	137400141
227	Зеленая книга	2018	16+	130	['Biography', 'Comedy', 'Drama']	8.2	516763	69	85080171
228	Типа крутые легавые	2007	16+	121	['Action', 'Comedy', 'Mystery']	7.8	516230	81	23637265
229	Сплит	2016	16+	117	['Horror', 'Thriller']	7.3	516178	62	138291365
230	Зверополис	2016	6+	108	['Animation', 'Adventure', 'Comedy']	8.0	514832	78	341268248
231	Люди Икс: Начало. Росомаха	2009	12+	107	['Action', 'Sci-Fi']	6.5	514744	40	179883157
232	Человек-паук: Вдали от дома	2019	12+	129	['Action', 'Adventure', 'Comedy']	7.4	513553	69	390532085
233	Мальчишник 2: Из Вегаса в Бангкок	2011	18+	102	['Comedy']	6.5	513119	44	254464305
234	Тихоокеанский рубеж	2013	PG-13	131	['Action', 'Adventure', 'Sci-Fi']	6.9	512296	65	101802906
235	Новый Человек-паук: Высокое напряжение	2014	12+	142	['Action', 'Adventure', 'Sci-Fi']	6.6	511416	53	202853933
236	Дитя человеческое	2006	16+	109	['Action', 'Drama', 'Sci-Fi']	7.9	510796	84	35552383
237	Мистер и миссис Смит	2005	14+	120	['Action', 'Comedy', 'Crime']	6.5	510752	55	186336279
238	Люси	2014	18+	89	['Action', 'Sci-Fi', 'Thriller']	6.4	510727	61	126663600
239	Ярость	2014	R	134	['Action', 'Drama', 'War']	7.5	510568	64	85817906
240	Общество мёртвых поэтов	1989	6+	128	['Comedy', 'Drama']	8.1	508127	79	95860116
241	Невероятный Халк	2008	12+	112	['Action', 'Adventure', 'Sci-Fi']	6.6	504155	61	134518390
242	Веном	2018	16+	112	['Action', 'Adventure', 'Sci-Fi']	6.6	503462	35	213515506
243	Реальная любовь	2003	16+	135	['Comedy', 'Drama', 'Romance']	7.6	502900	55	59696144
244	Индиана Джонс и Храм судьбы	1984	0+	118	['Action', 'Adventure']	7.5	502318	57	179870271
245	Эдвард руки-ножницы	1990	12+	105	['Drama', 'Fantasy', 'Romance']	7.9	502020	74	56362352
246	Снайпер	2014	18+	133	['Action', 'Biography', 'Drama']	7.3	501644	72	350126372
247	Окно во двор	1954	12+	112	['Mystery', 'Thriller']	8.5	500946	100	36764313
248	Эффект бабочки	2004	16+	113	['Drama', 'Sci-Fi', 'Thriller']	7.6	500656	30	57938693
249	Миссия невыполнима: Протокол Фантом	2011	14+	132	['Action', 'Adventure', 'Thriller']	7.4	500491	73	209397903
250	Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу	1964	PG	95	['Comedy', 'War']	8.4	499526	97	275902
251	Далласский клуб покупателей	2013	18+	117	['Biography', 'Drama']	7.9	499519	77	27298285
252	Чарли и шоколадная фабрика	2005	12+	115	['Adventure', 'Comedy', 'Family']	6.7	495683	72	206459076
253	Ледниковый период	2002	0+	81	['Animation', 'Adventure', 'Comedy']	7.5	495595	61	176387405
254	Маленькая Мисс Счастье	2006	16+	101	['Comedy', 'Drama']	7.8	494351	80	59891098
255	Хэнкок	2008	12+	92	['Action', 'Comedy', 'Drama']	6.4	494155	49	227946274
256	Гонка	2013	R	123	['Action', 'Biography', 'Drama']	8.1	490071	74	26947624
257	Аквамен	2018	12+	143	['Action', 'Adventure', 'Fantasy']	6.8	489802	55	335061807
258	Стартрек: Возмездие	2013	12+	132	['Action', 'Adventure', 'Sci-Fi']	7.7	488856	72	228778661
259	Афера по-американски	2013	16+	138	['Crime', 'Drama']	7.2	488080	90	150117807
260	Фантастические твари и где они обитают	2016	12+	132	['Adventure', 'Family', 'Fantasy']	7.2	487379	66	234037575
261	Кунг-фу Панда	2008	0+	92	['Animation', 'Action', 'Adventure']	7.6	487286	74	215434591
262	Пятый элемент	1997	16+	126	['Action', 'Adventure', 'Sci-Fi']	7.6	485021	52	63540020
263	Бегущий в лабиринте	2014	12+	113	['Action', 'Mystery', 'Sci-Fi']	6.8	482467	57	102427862
264	В центре внимания	2015	18+	129	['Biography', 'Crime', 'Drama']	8.1	481190	93	45055776
265	Воин	2011	12+	140	['Action', 'Drama', 'Sport']	8.2	481081	71	13657115
266	Шрэк 2	2004	6+	93	['Animation', 'Adventure', 'Comedy']	7.3	480060	75	436471036
267	Росомаха: Бессмертный	2013	12+	126	['Action', 'Sci-Fi']	6.7	476828	61	132556852
268	Город героев	2014	6+	102	['Animation', 'Action', 'Adventure']	7.8	475221	74	222527828
269	Девушка с татуировкой дракона	2011	18+	158	['Crime', 'Drama', 'Mystery']	7.8	473461	71	102515793
270	Джон Уик 2	2017	18+	122	['Action', 'Crime', 'Thriller']	7.4	473395	75	92029184
271	Лучший стрелок	1986	12+	109	['Action', 'Drama']	6.9	473071	50	179800601
272	Превосходство Борна	2004	16+	108	['Action', 'Mystery', 'Thriller']	7.7	472846	73	176241941
273	Капитан Филлипс	2013	16+	134	['Action', 'Biography', 'Crime']	7.8	472182	82	107100855
274	Терминал	2004	12+	128	['Comedy', 'Drama', 'Romance']	7.4	471569	55	77872883
275	Прислуга	2011	PG-13	146	['Drama']	8.1	471382	62	169708112
