	title	year	certificate	runtime	genre	imdb_rating	votes	metascore	gross
8247	The Roaring Twenties	1939	106 min	106	['Crime', 'Drama', 'Film-Noir']	7.9	14653	0	0
8248	Школа выживания выпускников	2009	PG-13	88	['Comedy', 'Romance']	5.3	14645	35	6373693
8249	Best of the Best	1989	97 min	97	['Action', 'Drama', 'Sport']	6.4	14641	26	1700000
8250	Клянусь тобой, любимая	2016	16+	154	['Drama', 'Musical', 'Romance']	7.5	14640	0	22121
8251	Американские горки	1997	R	118	['Crime', 'Mystery', 'Thriller']	6.4	14633	0	6482195
8252	Chandigarh Kare Aashiqui	2021	117 min	117	['Comedy', 'Crime', 'Drama']	6.8	14632	0	0
8253	Санта Клаус	1985	107 min	107	['Adventure', 'Family', 'Fantasy']	6.2	14628	0	23717291
8254	Арарат	2002	16+	115	['Drama', 'War']	6.3	14626	62	1554566
8255	Дикое сердце	1993	PG-13	102	['Drama', 'Romance']	6.8	14621	59	18899204
8256	Замена	1996	18+	114	['Action', 'Crime', 'Drama']	6.0	14619	41	14752141
8257	Газета	1994	R	112	['Comedy', 'Drama']	6.6	14617	70	38824341
8258	Покемон: Повелитель кристальной башни	2000	0+	93	['Animation', 'Action', 'Adventure']	5.8	14616	0	17052128
8259	Мгновения жизни	2007	18+	90	['Drama', 'Fantasy', 'Mystery']	6.3	14614	38	303439
8260	RangiTaranga	2015	149 min	149	['Mystery', 'Thriller']	8.2	14611	0	0
8261	Комната смерти	2009	R	93	['Mystery', 'Thriller']	5.6	14609	0	0
8262	Антивирус	2012	108 min	108	['Horror', 'Mystery', 'Sci-Fi']	5.7	14608	55	0
8263	Зверь	2017	R	107	['Crime', 'Drama', 'Mystery']	6.8	14601	74	800365
8264	Астерикс: Земля Богов	2014	85 min	85	['Animation', 'Adventure', 'Comedy']	6.9	14601	0	1656287
8265	Император	2001	R	180	['Action', 'Biography', 'Drama']	6.4	14591	0	702777
8266	Икс-Икс-Игрек	2007	86 min	86	['Drama', 'Romance']	7.0	14590	67	46011
8267	Бабочки	2018	117 min	117	['Comedy', 'Drama']	7.3	14587	0	0
8268	Захват	2023	134 min	134	['Action', 'Crime', 'Thriller']	6.2	14583	0	0
8269	Кукловод	2016	133 min	133	['Drama', 'Thriller']	7.6	14583	0	0
8270	Аминь	2002	132 min	132	['Biography', 'Crime', 'Drama']	7.2	14576	57	274299
8271	Кедарнатх	2018	116 min	116	['Drama', 'Romance']	6.7	14573	0	901131
8272	Der letzte Mann	1924	77 min	77	['Drama']	8.0	14570	0	94812
8273	Song of the South	1946	G	94	['Animation', 'Comedy', 'Family']	7.0	14567	54	63717040
8274	Волшебник Даниэль	2004	81 min	81	['Comedy', 'Crime', 'Fantasy']	1.2	14566	0	0
8275	Von Ryan's Express	1965	117 min	117	['Action', 'Adventure', 'War']	7.1	14565	0	17111111
8276	Обход Мика	2010	PG	104	['Adventure', 'Drama', 'Thriller']	6.5	14563	85	977600
8277	Ромео истекает кровью	1993	R	110	['Crime', 'Drama', 'Romance']	6.6	14562	50	3275585
8278	Команда уничтожить	2016	99 min	99	['Action', 'Horror', 'Sci-Fi']	5.7	14562	0	0
8279	Химические сердца	2020	R	93	['Drama', 'Romance']	6.3	14553	57	0
8280	За облаками	2004	90 min	90	['Animation', 'Drama', 'Romance']	6.9	14552	0	0
8281	Маленькая мама	2021	6+	73	['Drama', 'Fantasy']	7.4	14550	93	0
8282	Чaстоты	2013	109 min	109	['Mystery', 'Romance', 'Sci-Fi']	6.7	14547	0	0
8283	Дикая Роза	2018	R	101	['Drama', 'Music']	7.1	14543	80	1635117
8284	Приезжие	1999	PG-13	90	['Comedy']	5.5	14543	33	28535768
8285	Канал	2014	92 min	92	['Drama', 'Horror', 'Mystery']	5.8	14542	55	0
8286	Сестра оборотня	2004	R	94	['Horror', 'Thriller']	6.4	14534	0	0
8287	Эмили	2015	82 min	82	['Horror', 'Mystery', 'Thriller']	5.4	14530	62	0
8288	Сломленные	2012	91 min	91	['Drama', 'Romance']	7.2	14528	53	0
8289	Cheech and Chong's Next Movie	1980	99 min	99	['Comedy', 'Crime', 'Sci-Fi']	6.0	14518	66	41675194
8290	Первобытное зло	2007	16+	93	['Action', 'Adventure', 'Crime']	4.8	14517	35	10597734
8291	Jana Gana Mana	2022	162 min	162	['Crime', 'Drama', 'Thriller']	8.3	14516	0	0
8292	Любовь - это всё, что тебе нужно	2012	R	116	['Comedy', 'Drama', 'Romance']	6.5	14516	60	1631306
8293	Коктейль	2012	146 min	146	['Comedy', 'Drama', 'Romance']	6.3	14511	0	1027121
8294	Апостол	1997	PG-13	134	['Drama']	7.2	14505	83	20733485
8295	Щепотка перца	2003	12+	108	['Drama']	7.5	14505	48	0
8296	Фотограф	1998	R	87	['Comedy', 'Drama']	6.3	14504	66	2281761
8297	Немёртвые	2003	R	104	['Action', 'Comedy', 'Fantasy']	5.4	14501	34	41196
8298	Выбивая долги	2020	95 min	95	['Action', 'Crime', 'Drama']	4.8	14500	22	0
8299	Любовь и другие катастрофы	2006	12+	90	['Comedy', 'Drama', 'Romance']	6.1	14500	0	0
8300	Captain America	1990	97 min	97	['Action', 'Adventure', 'Sci-Fi']	3.2	14499	0	10173
8301	Дальше по коридору	2018	PG-13	96	['Drama', 'Fantasy', 'Horror']	5.0	14498	56	0
8302	Миллион лет до нашей эры	2004	98 min	98	['Comedy', 'Crime', 'Mystery']	5.8	14498	0	0
8303	Тень в моих глазах	2021	107 min	107	['Drama', 'History', 'War']	7.3	14492	0	0
8304	Another Woman	1988	81 min	81	['Drama']	7.2	14490	0	1562749
8305	Убить Гюнтера	2017	18+	92	['Action', 'Comedy', 'Thriller']	4.8	14484	53	0
8306	The Naked City	1948	96 min	96	['Crime', 'Drama', 'Film-Noir']	7.6	14472	74	0
8307	Вой	2015	92 min	92	['Action', 'Fantasy', 'Horror']	5.4	14468	0	0
8308	Последние каникулы 2	2009	16+	86	['Horror']	4.3	14468	0	0
8309	Непослушный Бабби	1993	114 min	114	['Comedy', 'Crime', 'Drama']	7.3	14465	0	0
8310	Код неизвестен	2000	18+	118	['Drama']	7.1	14464	74	95242
8311	Иди, Гоа больше нет	2013	108 min	108	['Action', 'Adventure', 'Comedy']	6.6	14464	0	295414
8312	Educating Rita	1983	110 min	110	['Comedy', 'Drama']	7.2	14461	54	14648076
8313	Император	2012	PG-13	107	['Drama', 'History', 'War']	6.5	14460	48	3345315
8314	Шаг за шагом	2020	93 min	93	['Comedy', 'Music']	6.1	14459	58	0
8315	Анна и апокалипсис	2017	R	93	['Comedy', 'Horror', 'Musical']	6.0	14459	63	545597
8316	Кика	1993	16+	114	['Comedy']	6.5	14458	53	2093370
8317	Париж. Город Zомби	2018	93 min	93	['Drama', 'Horror', 'Thriller']	6.0	14457	50	0
8318	Просто неотразима	1999	PG-13	96	['Comedy', 'Drama', 'Fantasy']	5.2	14452	27	4394936
8319	Фар Край	2008	16+	95	['Action', 'Adventure', 'Sci-Fi']	3.2	14450	0	0
8320	Красавица и дракон	2021	12+	121	['Animation', 'Adventure', 'Drama']	7.1	14439	83	0
8321	Ларго Винч: Начало	2008	108 min	108	['Action', 'Thriller']	6.4	14437	40	7621
8322	The Hill	1965	123 min	123	['Drama', 'War']	7.9	14432	81	0
8323	Исключение	2016	R	107	['Drama', 'Romance', 'War']	6.8	14431	60	606989
8324	Я плюю на ваши могилы 3	2015	18+	92	['Horror', 'Thriller']	5.1	14429	0	0
8325	Спасибо за вашу службу	2017	R	109	['Biography', 'Drama', 'War']	6.6	14429	68	9467000
8326	Мистер Сталь	1997	0+	97	['Action', 'Adventure', 'Crime']	2.9	14428	28	1710972
8327	Настоящие индийские парни	2011	122 min	122	['Comedy', 'Drama', 'Romance']	5.7	14425	0	1066167
8328	Автофокус	2002	18+	105	['Biography', 'Crime', 'Drama']	6.6	14423	66	2062066
8329	Черная бабочка	2017	R	93	['Thriller']	6.1	14422	43	0
8330	Night and the City	1950	101 min	101	['Crime', 'Film-Noir', 'Mystery']	7.9	14422	0	3600000
8331	Азартная игра	1994	PG-13	108	['Drama', 'Sport']	6.2	14417	54	22355000
8332	The Tragedy of Macbeth	1971	140 min	140	['Drama', 'History']	7.4	14410	0	0
8333	Teorema	1968	98 min	98	['Drama', 'Mystery']	7.0	14408	0	0
8334	Роскошная жизнь	2008	R	95	['Comedy', 'Drama', 'Romance']	6.8	14408	64	429307
