title,year,runtime,genre,imdb_rating,votes,certificate,metascore,gross
Клуб бунтарей,2014,107,"['Drama', 'Thriller']",6.0,23541,18+,54,0
Лунатики,1992,91,"['Fantasy', 'Horror']",5.3,23539,R,38,30524763
Тихий дом,2011,86,"['Horror', 'Thriller']",5.2,23522,18+,49,12555230
Огнеупорный,2008,122,"['Drama', 'Romance']",6.4,23493,PG,28,33456317
My Dinner with Andre,1981,110,"['Comedy', 'Drama']",7.7,23492,NaN,83,5250000
Семейка Брэди,1995,90,['Comedy'],6.2,23477,PG-13,54,46576136
Свидание вслепую,1987,95,"['Comedy', 'Romance']",5.9,23467,NaN,49,39321715
Эксперимент 'Офис' 2,2017,86,"['Action', 'Comedy', 'Horror']",6.4,23466,18+,62,0
Работа без авторства,2018,189,"['Biography', 'Drama', 'Romance']",7.7,23459,18+,68,1304042
Разрушенный дворец,1999,100,"['Drama', 'Mystery', 'Thriller']",6.4,23458,PG-13,44,10114315
Похищение,2007,96,"['Crime', 'Horror', 'Mystery']",4.6,23448,18+,24,2626800
Battle of Britain,1969,132,"['Action', 'Drama', 'History']",6.9,23447,NaN,0,4360000
The Eagle Has Landed,1976,135,"['Adventure', 'Drama', 'Thriller']",6.9,23446,NaN,61,0
"Куда ты пропала, Бернадетт",2019,109,"['Comedy', 'Drama']",6.5,23441,16+,51,9198356
Освобождение,2022,132,"['Action', 'Thriller']",6.2,23437,R,53,0
Долгая прогулка Билли Линна в перерыве футбольного матча,2016,113,"['Action', 'Drama', 'Sport']",6.2,23429,R,53,1738477
Масло Лоренцо,1992,129,"['Biography', 'Drama']",7.3,23429,PG-13,80,7286388
Sorcerer,1977,121,"['Adventure', 'Drama', 'Thriller']",7.7,23419,NaN,68,12000000
Конец романа,1999,102,"['Drama', 'Romance']",7.0,23414,R,65,10660147
Мертвые президенты,1995,119,"['Action', 'Crime', 'Drama']",6.9,23406,R,0,24200000
Неделя до...,2018,116,['Comedy'],5.2,23404,NaN,41,0
Затаившись,2015,84,"['Horror', 'Sci-Fi', 'Thriller']",6.4,23403,R,0,0
Балерина,2016,89,"['Animation', 'Adventure', 'Comedy']",6.7,23384,6+,48,24702560
Тебе стоило уйти,2020,93,"['Horror', 'Thriller']",5.4,23381,R,46,0
Сумасшедшее сердце,1997,180,"['Comedy', 'Drama', 'Musical']",7.0,23370,NaN,0,0
Bосставший из ада IV: Кровное родство,1996,85,"['Horror', 'Sci-Fi']",5.0,23369,18+,21,16675000
Stardust Memories,1980,89,"['Comedy', 'Drama']",7.2,23358,NaN,0,10389003
Marked for Death,1990,93,"['Action', 'Crime', 'Drama']",5.9,23357,NaN,49,46044400
Сержант Билко,1996,93,['Comedy'],5.8,23352,PG,47,30356793
Смерть со спецэффектами,2012,90,"['Comedy', 'Crime', 'Thriller']",5.9,23345,R,0,0
Близко,2022,104,['Drama'],7.8,23334,16+,81,0
Зеркальная маска,2005,101,"['Drama', 'Fantasy']",6.7,23328,12+,55,864959
Старая добрая оргия,2011,95,"['Comedy', 'Romance']",6.1,23318,16+,44,154604
На что способна любовь,1993,118,"['Biography', 'Drama', 'Music']",7.3,23314,16+,76,39100956
Мой папа псих,2007,93,"['Comedy', 'Drama']",6.6,23313,PG-13,63,263674
Пропавшая,2020,98,"['Drama', 'Horror', 'Mystery']",6.2,23312,R,70,0
Вместе,2000,106,"['Comedy', 'Drama', 'Romance']",7.4,23312,16+,84,1069156
Девять песен,2004,71,"['Drama', 'Music', 'Romance']",4.7,23311,18+,43,49835
Убежище,2007,97,"['Drama', 'Romance', 'Sport']",7.6,23311,R,66,142666
Зачарованная 2,2022,119,"['Animation', 'Adventure', 'Comedy']",5.6,23308,PG,50,0
Alexis Zorbas,1964,142,"['Comedy', 'Drama']",7.6,23308,NaN,0,0
Глубина,2002,105,"['Action', 'Horror', 'Mystery']",6.1,23307,16+,55,605562
Я все еще здесь,2010,108,"['Comedy', 'Drama', 'Music']",6.2,23306,R,48,408719
Умники,2008,95,"['Comedy', 'Drama', 'Romance']",6.1,23306,R,57,9496882
A Matter of Life and Death,1946,104,"['Drama', 'Fantasy', 'Romance']",8.0,23303,PG,0,0
Я - это любовь,2009,120,"['Drama', 'Romance']",7.0,23298,R,79,5005465
