title,year,country,director,actor_1,actor_2,ratingKP
Первому игроку приготовиться,2018,США,Стивен Спилберг,Тай Шеридан,Оливия Кук,7.455
Джокер,2019,США,Тодд Филлипс,Хоакин Феникс,Роберт Де Ниро,7.978
Гарри Поттер и Дары Смерти: Часть II,2011,Великобритания,Дэвид Йейтс,Дэниэл Рэдклифф,Руперт Гринт,8.15
Властелин колец: Возвращение короля,2003,Новая,Питер Джексон,Элайджа Вуд,Вигго Мортенсен,8.656
Один дома 2: Затерянный в Нью-Йорке,1992,США,Крис Коламбус,Маколей Калкин,Джо Пеши,8.028
Вышка,2022,Великобритания,Скотт Манн,Грейс Кэролайн Карри,Вирджиния Гарднер,6.745
Круэлла,2021,США,Крэйг Гиллеспи,Эмма Стоун,Эмма Томпсон,7.579
Пираты Карибского моря: На краю света,2007,США,Гор Вербински,Джонни Депп,Джеффри Раш,8.06
Алита: Боевой ангел,2019,Япония,Роберт Родригес,Роза Салазар,Кристоф Вальц,7.239
Властелин колец: Две крепости,2002,Новая,Питер Джексон,Элайджа Вуд,Иэн Маккеллен,8.601
Мажор в Сочи,2022,Россия,Никита Власов,Павел Прилучный,Павел Чинарёв,7.053
Хоббит: Нежданное путешествие,2012,Новая,Питер Джексон,Мартин Фриман,Иэн Маккеллен,8.102
Живая сталь,2011,США,Шон Леви,Хью Джекман,Дакота Гойо,7.664
Однажды в… Голливуде,2019,США,Квентин Тарантино,Леонардо ДиКаприо,Брэд Питт,7.653
Большой куш,2000,Великобритания,Гай Ричи,Джейсон Стэйтем,Стивен Грэм,8.549
Девчата,1962,СССР,Юрий Чулюкин,Надежда Румянцева,Николай Рыбников,8.397
Довод,2020,Великобритания,Кристофер Нолан,Джон Дэвид Вашингтон,Роберт Паттинсон,7.523
Майор Гром: Чумной Доктор,2021,Россия,Олег Трофим,Тихон Жизневский,Любовь Аксёнова,7.18
Омерзительная восьмерка,2015,США,Квентин Тарантино,Курт Рассел,Сэмюэл Л. Джексон,7.966
Грань будущего,2014,США,Даг Лайман,Том Круз,Эмили Блант,7.941
Т-34,2018,Россия,Алексей Сидоров,Александр Петров,Виктор Добронравов,6.734
Шоу Трумана,1998,США,Питер Уир,Джим Керри,Лора Линни,8.274
Тор: Рагнарёк,2017,США,Тайка Вайтити,Крис Хемсворт,Том Хиддлстон,7.716
