title,country,director,actor_1,actor_2,ratingKP
Один дома 2: Затерянный в Нью-Йорке,США,Крис Коламбус,Маколей Калкин,Джо Пеши,8.028
Круэлла,США,Крэйг Гиллеспи,Эмма Стоун,Эмма Томпсон,7.579
Вышка,Великобритания,Скотт Манн,Грейс Кэролайн Карри,Вирджиния Гарднер,6.747
Пираты Карибского моря: На краю света,США,Гор Вербински,Джонни Депп,Джеффри Раш,8.06
Алита: Боевой ангел,Япония,Роберт Родригес,Роза Салазар,Кристоф Вальц,7.239
Властелин колец: Две крепости,Новая,Питер Джексон,Элайджа Вуд,Иэн Маккеллен,8.6
Мажор в Сочи,Россия,Никита Власов,Павел Прилучный,Павел Чинарёв,7.053
Хоббит: Нежданное путешествие,Новая,Питер Джексон,Мартин Фриман,Иэн Маккеллен,8.102
Живая сталь,США,Шон Леви,Хью Джекман,Дакота Гойо,7.664
Большой куш,Великобритания,Гай Ричи,Джейсон Стэйтем,Стивен Грэм,8.549
Однажды в… Голливуде,США,Квентин Тарантино,Леонардо ДиКаприо,Брэд Питт,7.652
Девчата,СССР,Юрий Чулюкин,Надежда Румянцева,Николай Рыбников,8.397
Довод,Великобритания,Кристофер Нолан,Джон Дэвид Вашингтон,Роберт Паттинсон,7.523
Майор Гром: Чумной Доктор,Россия,Олег Трофим,Тихон Жизневский,Любовь Аксёнова,7.179
Омерзительная восьмерка,США,Квентин Тарантино,Курт Рассел,Сэмюэл Л. Джексон,7.966
Грань будущего,США,Даг Лайман,Том Круз,Эмили Блант,7.941
Т-34,Россия,Алексей Сидоров,Александр Петров,Виктор Добронравов,6.732
Тор: Рагнарёк,США,Тайка Вайтити,Крис Хемсворт,Том Хиддлстон,7.717
Шоу Трумана,США,Питер Уир,Джим Керри,Лора Линни,8.274
Гарри Поттер и Кубок огня,Великобритания,Майк Ньюэлл,Дэниэл Рэдклифф,Руперт Гринт,7.946
Стражи Галактики. Часть 2,США,Джеймс Ганн,Крис Пратт,Зои Салдана,7.767
Брюс Всемогущий,США,Том Шэдьяк,Джим Керри,Морган Фриман,7.747
"Карты, деньги, два ствола",Великобритания,Гай Ричи,Джейсон Флеминг,Декстер Флетчер,8.557
Служебный роман,СССР,Эльдар Рязанов,Андрей Мягков,Алиса Фрейндлих,8.316
Человек-паук: Вдали от дома,США,Джон Уоттс,Том Холланд,Сэмюэл Л. Джексон,7.415
Аквамен,США,Джеймс Ван,Джейсон Момоа,Эмбер Хёрд,6.846
Хатико: Самый верный друг,США,Лассе Халльстрём,Ричард Гир,Джоан Аллен,8.349
Эффект бабочки,США,Эрик Бресс,Эштон Кутчер,Эми Смарт,8.169
Константин: Повелитель тьмы,США,Фрэнсис Лоуренс,Киану Ривз,Рэйчел Вайс,7.852
Отряд самоубийц,США,Дэвид Эйр,Марго Робби,Уилл Смит,6.092
Операция «Фортуна»: Искусство побеждать,Великобритания,Гай Ричи,Джейсон Стэйтем,Обри Плаза,7.107
Паразиты,Корея,Пон Джун-хо,Сон Кан-хо,Ли Сон-гюн,8.02
Темный рыцарь: Возрождение легенды,США,Кристофер Нолан,Кристиан Бэйл,Том Харди,8.163
Молчание ягнят,США,Джонатан Демме,Джоди Фостер,Энтони Хопкинс,8.335
Дэдпул 2,США,Дэвид Литч,Райан Рейнольдс,Джош Бролин,7.44
Список Шиндлера,США,Стивен Спилберг,Лиам Нисон,Бен Кингсли,8.843
Игры разума,США,Рон Ховард,Рассел Кроу,Эд Харрис,8.546
Время,США,Эндрю Никкол,Джастин Тимберлейк,Аманда Сайфред,7.276
Гарри Поттер и Орден Феникса,Великобритания,Дэвид Йейтс,Дэниэл Рэдклифф,Руперт Гринт,7.826
Всё везде и сразу,США,Дэн Кван,Мишель Йео,Джейми Ли Кёртис,7.224
Батя,Россия,Дмитрий Ефимович,Владимир Вдовиченков,Андрей Андреев,7.619
Отель «Гранд Будапешт»,США,Уэс Андерсон,Рэйф Файнс,Тони Револори,7.933
Семь,США,Дэвид Финчер,Брэд Питт,Морган Фриман,8.294
День сурка,США,Харольд Рэмис,Билл Мюррей,Энди Макдауэлл,8.137
Kingsman: Секретная служба,Великобритания,Мэттью Вон,Тэрон Эджертон,Колин Фёрт,7.676
Предложение,США,Энн Флетчер,Сандра Буллок,Райан Рейнольдс,7.665
Загадочная история Бенджамина Баттона,США,Дэвид Финчер,Брэд Питт,Кейт Бланшетт,8.06
Гарри Поттер и Принц-полукровка,Великобритания,Дэвид Йейтс,Дэниэл Рэдклифф,Руперт Гринт,7.815
Чарли и шоколадная фабрика,США,Тим Бёртон,Джонни Депп,Фредди Хаймор,7.615
Маска,США,Чак Рассел,Джим Керри,Кэмерон Диас,7.983
Богемская рапсодия,Великобритания,Брайан Сингер,Рами Малек,Люси Бойнтон,8.009
Я – легенда,США,Фрэнсис Лоуренс,Уилл Смит,Алиси Брага,7.865
Шан-Чи и легенда десяти колец,США,Дестин Дэниел Креттон,Симу Лю,Тони Люн Чу Вай,7.329
Легенда №17,Россия,Николай Лебедев,Данила Козловский,Олег Меньшиков,7.967
Гарри Поттер и Дары Смерти: Часть I,Великобритания,Дэвид Йейтс,Дэниэл Рэдклифф,Руперт Гринт,7.891
Фантастические твари и где они обитают,Великобритания,Дэвид Йейтс,Эдди Редмэйн,Кэтрин Уотерстон,7.603
Терминатор 2: Судный день,США,Джеймс Кэмерон,Арнольд Шварценеггер,Линда Хэмилтон,8.34
Счастливое число Слевина,США,Пол Макгиган,Джош Хартнетт,Брюс Уиллис,8.122
Джон Уик,США,Чад Стахелски,Киану Ривз,Микаэл Нюквист,6.977
Послезавтра,США,Роланд Эммерих,Деннис Куэйд,Джейк Джилленхол,7.677
Отступники,США,Мартин Скорсезе,Леонардо ДиКаприо,Мэтт Дэймон,8.455
Железный человек 3,США,Шейн Блэк,Роберт Дауни мл.,Гвинет Пэлтроу,7.456
Железный человек 2,США,Джон Фавро,Роберт Дауни мл.,Микки Рурк,7.462
Лулу и Бриггс,США,Рид Каролин,Ченнинг Татум,Итан Сапли,7.385
Вечное сияние чистого разума,США,Мишель Гондри,Джим Керри,Кейт Уинслет,8.039
Человек-паук,США,Сэм Рэйми,Тоби Магуайр,Уиллем Дефо,7.686
Люди в чёрном,США,Барри Зонненфельд,Томми Ли Джонс,Уилл Смит,8.004
По соображениям совести,Австралия,Мэл Гибсон,Эндрю Гарфилд,Сэм Уортингтон,8.207
Хоббит: Пустошь Смауга,Новая,Питер Джексон,Мартин Фриман,Ричард Армитедж,8.018
В бой идут одни «старики»,СССР,Леонид Быков,Леонид Быков,Сергей Подгорный,8.715
Веном 2,США,Энди Серкис,Том Харди,Вуди Харрельсон,6.156
Оно,США,Андрес Мускетти,Джейден Мартелл,Джереми Рэй Тейлор,7.305
Великий Гэтсби,Австралия,Баз Лурман,Леонардо ДиКаприо,Тоби Магуайр,7.944
Мстители: Эра Альтрона,США,Джосс Уидон,Роберт Дауни мл.,Крис Хемсворт,7.259
Исходный код,США,Дункан Джонс,Джейк Джилленхол,Мишель Монахэн,7.767
Тор,США,Кеннет Брана,Крис Хемсворт,Натали Портман,7.094
Адвокат дьявола,США,Тейлор Хэкфорд,Киану Ривз,Аль Пачино,8.167
Игра,США,Дэвид Финчер,Майкл Дуглас,Шон Пенн,8.258
Семь жизней,США,Габриэле Муччино,Уилл Смит,Розарио Доусон,8.206
"Три билборда на границе Эббинга, Миссури",Великобритания,Мартин Макдона,Фрэнсис Макдорманд,Сэм Рокуэлл,8.141
Терминал,США,Стивен Спилберг,Том Хэнкс,Кэтрин Зета-Джонс,8.116
Последний богатырь,Россия,Дмитрий Дьяченко,Виктор Хориняк,Мила Сивацкая,7.027
"Я, робот",США,Алекс Пройас,Уилл Смит,Бриджет Мойнэхэн,7.832
Назад в будущее 2,США,Роберт Земекис,Майкл Дж. Фокс,Кристофер Ллойд,8.314
Поезд в Пусан,Корея,Ён Сан-хо,Кон Ю,Ма Дон-сок,7.156
Валериан и город тысячи планет,Франция,Люк Бессон,Дэйн ДеХаан,Кара Делевинь,6.853
Драйв,США,Николас Виндинг Рефн,Райан Гослинг,Кэри Маллиган,7.261
Выживший,Гонконг,Алехандро Гонсалес Иньярриту,Леонардо ДиКаприо,Том Харди,7.84
Мажор. Фильм,Россия,Максим Полинский,Павел Прилучный,Евгений Стычкин,6.784
Дом странных детей Мисс Перегрин,США,Тим Бёртон,Ева Грин,Эйса Баттерфилд,6.903
Красотка,США,Гэрри Маршалл,Ричард Гир,Джулия Робертс,8.025
Никто,США,Илья Найшуллер,Боб Оденкёрк,Алексей Серебряков,7.384
Чёрная Пантера,США,Райан Куглер,Чедвик Боузман,Майкл Б. Джордан,6.638
Дурак,Россия,Юрий Быков,Артём Быстров,Наталья Суркова,8.087
"Ирония судьбы, или С легким паром!  (ТВ)",СССР,Эльдар Рязанов,Андрей Мягков,Барбара Брыльска,8.187
Обливион,США,Джозеф Косински,Том Круз,Ольга Куриленко,7.226
Люси,Франция,Люк Бессон,Скарлетт Йоханссон,Морган Фриман,6.75
Пассажиры,США,Мортен Тильдум,Дженнифер Лоуренс,Крис Пратт,7.22
Голодные игры,США,Гэри Росс,Дженнифер Лоуренс,Джош Хатчерсон,7.255
Малефисента,США,Роберт Стромберг,Анджелина Джоли,Эль Фаннинг,7.237
Первый мститель: Противостояние,США,Энтони Руссо,Крис Эванс,Роберт Дауни мл.,7.41
Одержимость,США,Дэмьен Шазелл,Майлз Теллер,Дж.К. Симмонс,8.355
Черный ящик,Франция,Ян Гозлан,Пьер Нинэ,Лу де Лааж,7.593
Дивергент,США,Нил Бёргер,Шейлин Вудли,Тео Джеймс,6.732
Линкольн для адвоката,США,Брэд Фурман,Мэттью МакКонахи,Мариса Томей,7.861
Бегущий по лезвию 2049,США,Дени Вильнёв,Райан Гослинг,Харрисон Форд,7.769
Далласский клуб покупателей,США,Жан-Марк Валле,Мэттью МакКонахи,Дженнифер Гарнер,7.898
Прислуга,США,Тейт Тейлор,Эмма Стоун,Виола Дэвис,8.239
В погоне за счастьем,США,Габриэле Муччино,Уилл Смит,Джейден Смит,8.259
Пираты Карибского моря: На странных берегах,США,Роб Маршалл,Джонни Депп,Пенелопа Крус,7.321
Отряд самоубийц: Миссия навылет,США,Джеймс Ганн,Идрис Эльба,Марго Робби,6.683
Война миров Z,США,Марк Форстер,Брэд Питт,Мирей Инос,6.996
Человек-паук: Нет пути домой,США,Джон Уоттс,Том Холланд,Зендея,7.953
