title,country,director,actor_1,actor_2,ratingKP
Аритмия,Россия,Борис Хлебников,Александр Яценко,Ирина Горбачева,7.721
Вне/себя,США,Тарсем Сингх,Райан Рейнольдс,Бен Кингсли,6.913
Одинокий рейнджер,США,Гор Вербински,Джонни Депп,Арми Хаммер,6.79
Текст,Россия,Клим Шипенко,Александр Петров,Кристина Асмус,6.851
Мимино,СССР,Георгий Данелия,Вахтанг Кикабидзе,Фрунзик Мкртчян,8.13
Транс,Великобритания,Дэнни Бойл,Джеймс МакЭвой,Венсан Кассель,7.156
Терминатор: Да придёт спаситель,США,МакДжи,Кристиан Бэйл,Сэм Уортингтон,6.763
Удивительное путешествие доктора Дулиттла,США,Стивен Гейган,Роберт Дауни мл.,Антонио Бандерас,6.4
Золушка,Великобритания,Кеннет Брана,Лили Джеймс,Кейт Бланшетт,7.108
50 первых поцелуев,США,Питер Сигал,Адам Сэндлер,Дрю Бэрримор,7.329
Дежавю,США,Тони Скотт,Дензел Вашингтон,Пола Пэттон,7.812
Живое,США,Даниэль Эспиноса,Джейк Джилленхол,Райан Рейнольдс,6.542
Бегущий в лабиринте: Лекарство от смерти,США,Уэс Болл,Дилан О’Брайен,Ки Хон Ли,6.306
Пиксели,США,Крис Коламбус,Адам Сэндлер,Кевин Джеймс,5.879
Отель Мумбаи: Противостояние,США,Энтони Марас,Арми Хаммер,Джейсон Айзекс,7.786
Час пик,США,Бретт Рэтнер,Джеки Чан,Крис Такер,7.738
Хроники Нарнии: Принц Каспиан,США,Эндрю Адамсон,Бен Барнс,Джорджи Хенли,6.949
Рейд,Индонезия,Гарет Эванс,Ико Уайс,Джо Таслим,7.406
Четыре комнаты,США,Эллисон Андерс,Тим Рот,Антонио Бандерас,7.739
Из машины,Великобритания,Алекс Гарленд,Донал Глисон,Алисия Викандер,7.126
Кокаин,США,Тед Демме,Джонни Депп,Пенелопа Крус,7.971
Трансформеры: Последний рыцарь,США,Майкл Бэй,Марк Уолберг,Энтони Хопкинс,5.682
Между небом и землей,США,Марк Уотерс,Риз Уизерспун,Марк Руффало,7.644
Алиса в Зазеркалье,США,Джеймс Бобин,Миа Васиковска,Джонни Депп,6.727
Однажды в Вегасе,США,Том Вон,Кэмерон Диас,Эштон Кутчер,7.239
Ганнибал,США,Ридли Скотт,Энтони Хопкинс,Джулианна Мур,7.76
Адреналин: Высокое напряжение,США,Марк Невелдайн,Джейсон Стэйтем,Эми Смарт,6.291
Война,Россия,Алексей Балабанов,Алексей Чадов,Иэн Келли,8.036
В метре друг от друга,США,Джастин Бальдони,Хейли Лу Ричардсон,Коул Спроус,7.319
Призрак в доспехах,США,Руперт Сандерс,Скарлетт Йоханссон,Пилу Асбек,6.432
Быстрее пули,США,Дэвид Литч,Брэд Питт,Джои Кинг,7.667
Американский пирог,США,Пол Вайц,Джейсон Биггз,Крис Клейн,7.217
Хан Соло: Звёздные войны. Истории,США,Рон Ховард,Олден Эренрайк,Йонас Суотамо,6.942
Авиатор,США,Мартин Скорсезе,Леонардо ДиКаприо,Кейт Бланшетт,7.598
Лекарство от здоровья,Германия,Гор Вербински,Дэйн ДеХаан,Джейсон Айзекс,6.38
Экзамен,Великобритания,Стюарт Хэзелдайн,Адар Бек,Джемма Чан,7.034
Пункт назначения,США,Джеймс Вон,Девон Сава,Эли Лартер,7.501
"С любовью, Рози",Великобритания,Кристиан Диттер,Лили Коллинз,Сэм Клафлин,7.673
Семейка Аддамс,США,Барри Зонненфельд,Анжелика Хьюстон,Рауль Хулиа,7.679
Карнавальная ночь,СССР,Эльдар Рязанов,Игорь Ильинский,Людмила Гурченко,7.995
Капернаум,Ливан,Надин Лабаки,Зейн Аль Раффеа,Йорданос Шифероу,8.144
Однажды в Америке,Италия,Серджио Леоне,Роберт Де Ниро,Джеймс Вудс,8.272
"Хороший, плохой, злой",Италия,Серджио Леоне,Клинт Иствуд,Ли Ван Клиф,8.512
Кинг Конг,США,Питер Джексон,Наоми Уоттс,Эдриан Броуди,7.596
Дракула,США,Гари Шор,Люк Эванс,Сара Гадон,6.569
Знакомство с родителями,США,Джей Роуч,Бен Стиллер,Роберт Де Ниро,7.531
Астерикс и Обеликс: Миссия Клеопатра,Франция,Ален Шаба,Жерар Депардье,Кристиан Клавье,7.282
Красное уведомление,США,Роусон Маршалл Тёрбер,Дуэйн Джонсон,Райан Рейнольдс,6.523
Терминатор 3: Восстание машин,США,Джонатан Мостоу,Арнольд Шварценеггер,Ник Стал,6.771
Бабушка лёгкого поведения,Россия,Марюс Вайсберг,Александр Ревва,Наталья Чистякова-Ионова,5.168
Мы из будущего,Россия,Андрей Малюков,Данила Козловский,Дмитрий Волкострелов,7.205
Тупой и еще тупее,США,Питер Фаррелли,Джим Керри,Джефф Дэниелс,7.246
Знакомство с Факерами,США,Джей Роуч,Роберт Де Ниро,Бен Стиллер,7.107
Братья,США,Джим Шеридан,Тоби Магуайр,Джейк Джилленхол,7.409
Собачья жизнь,США,Лассе Халльстрём,Джош Гад,Деннис Куэйд,8.027
Конг: Остров черепа,США,Джордан Вот-Робертс,Том Хиддлстон,Сэмюэл Л. Джексон,6.487
Свадьба в Малиновке,СССР,Андрей Тутышкин,Владимир Самойлов,Людмила Алфимова,8.081
Донни Дарко,США,Ричард Келли,Джейк Джилленхол,Джена Мэлоун,7.6
Ной,США,Даррен Аронофски,Рассел Кроу,Дженнифер Коннелли,6.648
Не может быть!,СССР,Леонид Гайдай,Михаил Пуговкин,Нина Гребешкова,8.172
10 причин моей ненависти,США,Джил Джангер,Хит Леджер,Джулия Стайлз,7.81
Назови меня своим именем,Италия,Лука Гуаданьино,Арми Хаммер,Тимоти Шаламе,7.595
Поезд на Юму,США,Джеймс Мэнголд,Рассел Кроу,Кристиан Бэйл,7.745
Казино,США,Мартин Скорсезе,Роберт Де Ниро,Шэрон Стоун,8.128
Ёлки 2,Россия,Дмитрий Киселёв,Иван Ургант,Сергей Светлаков,7.034
Хижина в лесу,США,Дрю Годдард,Кристен Коннолли,Крис Хемсворт,6.692
Дрянные девчонки,США,Марк Уотерс,Линдси Лохан,Рэйчел Макадамс,6.977
Время первых,Россия,Дмитрий Киселёв,Евгений Миронов,Константин Хабенский,7.486
Вики Кристина Барселона,Испания,Вуди Аллен,Ребекка Холл,Скарлетт Йоханссон,7.167
Охота,Дания,Томас Винтерберг,Мадс Миккельсен,Томас Бо Ларсен,7.933
Паркер,США,Тейлор Хэкфорд,Джейсон Стэйтем,Дженнифер Лопес,6.654
Астрал,США,Джеймс Ван,Патрик Уилсон,Роуз Бирн,6.755
Орудия смерти: Город костей,Германия,Харольд Цварт,Лили Коллинз,Джейми Кэмпбелл Бауэр,6.082
Глубоководный горизонт,США,Питер Берг,Марк Уолберг,Курт Рассел,7.152
Одержимость,США,Пол Макгиган,Джош Хартнетт,Роуз Бирн,7.842
Идентификация,США,Джеймс Мэнголд,Джон Кьюсак,Рэй Лиотта,7.579
Время ведьм,США,Доминик Сена,Николас Кейдж,Рон Перлман,6.174
Мир Юрского периода 2,США,Хуан Антонио Байона,Крис Пратт,Брайс Даллас Ховард,6.228
Тоня против всех,США,Крэйг Гиллеспи,Марго Робби,Себастиан Стэн,7.295
Патруль,США,Дэвид Эйр,Джейк Джилленхол,Майкл Пенья,7.665
Белый плен,США,Фрэнк Маршалл,Пол Уокер,Брюс Гринвуд,8.117
После нашей эры,США,М. Найт Шьямалан,Джейден Смит,Уилл Смит,5.823
Плохие парни,США,Майкл Бэй,Уилл Смит,Мартин Лоуренс,7.66
Суррогаты,США,Джонатан Мостоу,Брюс Уиллис,Рада Митчелл,6.898
Полицейский с Рублевки. Новогодний беспредел,Россия,Илья Куликов,Александр Петров,Сергей Бурунов,6.5
Грязные танцы,США,Эмиль Ардолино,Дженнифер Грей,Патрик Суэйзи,8.047
Звездный десант,США,Пол Верховен,Каспер Ван Дин,Дина Мейер,7.558
Кредо убийцы,США,Джастин Курзель,Майкл Фассбендер,Марион Котийяр,5.73
Скала,США,Майкл Бэй,Шон Коннери,Николас Кейдж,7.941
Мачо и ботан 2,США,Фил Лорд,Джона Хилл,Ченнинг Татум,6.685
Хорошо быть тихоней,США,Стивен Чбоски,Логан Лерман,Эмма Уотсон,7.529
Ведьмы,США,Роберт Земекис,Джазир Бруно,Октавия Спенсер,5.679
Покровские ворота  (ТВ),СССР,Михаил Козаков,Олег Меньшиков,Леонид Броневой,8.234
Всё могу,Великобритания,Терри Джонс,Саймон Пегг,Кейт Бекинсейл,6.281
"Гангстер, коп и дьявол",Корея,Ли Вон-тхэ,Ма Дон-сок,Ким Му-ёль,7.299
Эта дурацкая любовь,США,Гленн Фикарра,Стив Карелл,Райан Гослинг,7.567
Tomb Raider: Лара Крофт,Великобритания,Роар Утхауг,Алисия Викандер,Доминик Уэст,6.205
Вспомнить всё,США,Лен Уайзман,Колин Фаррелл,Кейт Бекинсейл,6.507
Война невест,США,Гари Виник,Кейт Хадсон,Энн Хэтэуэй,6.846
Кровью и потом: Анаболики,США,Майкл Бэй,Марк Уолберг,Дуэйн Джонсон,6.449
Сделано в Америке,США,Даг Лайман,Том Круз,Донал Глисон,7.31
Лобстер,Ирландия,Йоргос Лантимос,Колин Фаррелл,Рэйчел Вайс,7.025
Клаустрофобы,США,Адам Робител,Тейлор Расселл,Логан Миллер,6.784
Заражение,США,Стивен Содерберг,Мэтт Дэймон,Лоренс Фишбёрн,6.55
Звездная пыль,Великобритания,Мэттью Вон,Чарли Кокс,Клэр Дэйнс,7.701
Звезда родилась,США,Брэдли Купер,Леди Гага,Брэдли Купер,7.372
Ограбление на Бейкер-Стрит,Великобритания,Роджер Дональдсон,Джейсон Стэйтем,Саффрон Берроуз,7.438
Неудержимые 2,США,Саймон Уэст,Сильвестр Сталлоне,Джейсон Стэйтем,6.971
Серебряные коньки,Россия,Михаил Локшин,Фёдор Федотов,Софья Присс,7.607
Военный ныряльщик,США,Джордж Тиллман мл.,Роберт Де Ниро,Кьюба Гудинг мл.,8.088
Ночь в музее 2,США,Шон Леви,Бен Стиллер,Эми Адамс,6.569
Двое: Я и моя тень,США,Энди Теннант,Мэри-Кейт Олсен,Эшли Олсен,7.399
Горбатая гора,США,Энг Ли,Хит Леджер,Джейк Джилленхол,7.593
Рыцари справедливости,Дания,Андерс Томас Йенсен,Мадс Миккельсен,Николай Ли Каас,7.376
Шаг вперед,США,Энн Флетчер,Ченнинг Татум,Дженна Дуан,7.608
За бортом,США,Гэрри Маршалл,Голди Хоун,Курт Рассел,7.999
Невероятный мир глазами Энцо,США,Саймон Кёртис,Кевин Костнер,Майло Вентимилья,8.261
Куда приводят мечты,США,Винсент Уорд,Робин Уильямс,Кьюба Гудинг мл.,7.923
Ультиматум Борна,США,Пол Гринграсс,Мэтт Дэймон,Джулия Стайлз,7.748
мама!,США,Даррен Аронофски,Дженнифер Лоуренс,Хавьер Бардем,7.104
Мулан,США,Ники Каро,Лю Ифэй,Донни Йен,6.48
Красный Дракон,США,Бретт Рэтнер,Энтони Хопкинс,Эдвард Нортон,7.803
Схватка,США,Майкл Манн,Аль Пачино,Роберт Де Ниро,8.032
Водный мир,США,Кевин Рейнольдс,Кевин Костнер,Деннис Хоппер,7.628
Автостопом по галактике,Великобритания,Гарт Дженнингс,Мартин Фриман,Ясин Бей,7.083
Вам и не снилось...,СССР,Илья Фрэз,Татьяна Аксюта,Никита Михайловский,8.228
Факультет,США,Роберт Родригес,Элайджа Вуд,Джош Хартнетт,7.298
Адреналин,США,Марк Невелдайн,Джейсон Стэйтем,Эми Смарт,7.258
47 ронинов,США,Карл Ринш,Киану Ривз,Хироюки Санада,6.758
Пляж,Великобритания,Дэнни Бойл,Леонардо ДиКаприо,Виржини Ледуайен,7.392
Снайпер,США,Клинт Иствуд,Брэдли Купер,Сиенна Миллер,7.003
В диких условиях,США,Шон Пенн,Эмиль Хирш,Хэл Холбрук,7.916
Обитель проклятых,США,Брэд Андерсон,Кейт Бекинсейл,Джим Стёрджесс,7.193
Неуязвимый,США,М. Найт Шьямалан,Брюс Уиллис,Сэмюэл Л. Джексон,7.117
Подольские курсанты,Россия,Вадим Шмелев,Алексей Бардуков,Евгений Дятлов,8.047
Боец,США,Дэвид О. Расселл,Марк Уолберг,Кристиан Бэйл,7.776
Призрачный гонщик,США,Марк Стивен Джонсон,Николас Кейдж,Ева Мендес,6.339
"Ешь, молись, люби",США,Райан Мерфи,Джулия Робертс,Хавьер Бардем,6.917
Жестокие игры,США,Роджер Камбл,Сара Мишель Геллар,Райан Филипп,7.862
Не время умирать,Великобритания,Кэри Дзёдзи Фукунага,Дэниэл Крэйг,Рами Малек,7.039
Шоколад,Великобритания,Лассе Халльстрём,Жюльет Бинош,Джуди Денч,7.858
Остров фантазий,США,Джефф Уодлоу,Майкл Пенья,Мэгги Кью,5.771
Сволочи,Россия,Александр Атанесян,Андрей Панин,Андрей Краско,6.692
Лемони Сникет: 33 несчастья,США,Брэд Силберлинг,Джим Керри,Эмили Браунинг,7.267
Звонок,США,Гор Вербински,Наоми Уоттс,Мартин Хендерсон,7.259
Планета обезьян: Революция,США,Мэтт Ривз,Энди Серкис,Джейсон Кларк,7.055
Копы в юбках,США,Пол Фиг,Сандра Буллок,Мелисса Маккарти,6.726
Проект X: Дорвались,США,Нима Нуризаде,Томас Манн,Оливер Купер,7.023
Диктатор,США,Ларри Чарльз,Саша Барон Коэн,Анна Фэрис,6.49
28 недель спустя,Великобритания,Хуан Карлос Фреснадильо,Роберт Карлайл,Роуз Бирн,6.979
Игра Эндера,США,Гэвин Худ,Эйса Баттерфилд,Харрисон Форд,6.659
Чёрный ястреб,США,Ридли Скотт,Джош Хартнетт,Юэн Макгрегор,7.806
Люби их всех,Россия,Мария Агранович,Алёна Михайлова,Александр Кузнецов,7.211
Свободные отношения,Россия,Дмитрий Невзоров,Аглая Тарасова,Борис Дергачев,6.925
Дикие истории,Аргентина,Дамиан Сифрон,Рикардо Дарин,Оскар Мартинес,7.718
Он – дракон,Россия,Индар Джендубаев,Мария Поезжаева,Матвей Лыков,6.869
Кейт и Лео,США,Джеймс Мэнголд,Мег Райан,Хью Джекман,7.624
"День, когда Земля остановилась",США,Скотт Дерриксон,Киану Ривз,Дженнифер Коннелли,6.273
Рядовой Чээрин,Россия,Дмитрий Кольцов,Айтал Степанов,Александр Казанцев,7.285
Месть от кутюр,Австралия,Джослин Мурхаус,Кейт Уинслет,Джуди Дэвис,7.316
Малхолланд Драйв,США,Дэвид Линч,Наоми Уоттс,Лаура Хэрринг,7.663
Салют-7,Россия,Клим Шипенко,Владимир Вдовиченков,Павел Деревянко,7.452
Девять жизней,Франция,Барри Зонненфельд,Кевин Спейси,Дженнифер Гарнер,6.346
Любой ценой,США,Дэвид Маккензи,Джефф Бриджес,Крис Пайн,7.241
Стартрек: Бесконечность,США,Джастин Лин,Крис Пайн,Закари Куинто,6.924
Наша Russia: Яйца судьбы,Россия,Глеб Орлов,Сергей Светлаков,Михаил Галустян,4.134
Таинственная река,США,Клинт Иствуд,Шон Пенн,Тим Роббинс,7.794
Тепло наших тел,США,Джонатан Левин,Николас Холт,Тереза Палмер,6.87
На крючке,Германия,Ди Джей Карузо,Шайа ЛаБаф,Мишель Монахэн,7.372
Тор: Любовь и гром,Австралия,Тайка Вайтити,Крис Хемсворт,Натали Портман,6.001
Иди и смотри,СССР,Элем Климов,Алексей Кравченко,Ольга Миронова,8.206
Босиком по мостовой,Германия,Тиль Швайгер,Тиль Швайгер,Йоханна Вокалек,7.912
Дедушка легкого поведения,США,Дэн Мазер,Роберт Де Ниро,Зак Эфрон,6.136
В центре внимания,США,Том Маккарти,Марк Руффало,Майкл Китон,7.587
Анна,Франция,Люк Бессон,Саша Лусс,Хелен Миррен,6.367
Больше чем секс,США,Айвен Райтман,Натали Портман,Эштон Кутчер,6.758
Дорога,США,Джон Хиллкоут,Вигго Мортенсен,Коди Смит-Макфи,7.203
Еще одна из рода Болейн,Великобритания,Джастин Чадвик,Натали Портман,Скарлетт Йоханссон,7.686
Догма,США,Кевин Смит,Бен Аффлек,Мэтт Дэймон,7.677
Смертельная битва,США,Пол У. С. Андерсон,Робин Шоу,Линден Эшби,7.561
Миссия невыполнима: Протокол Фантом,США,Брэд Бёрд,Том Круз,Пола Пэттон,7.275
Мальчишник: Часть III,США,Тодд Филлипс,Брэдли Купер,Эд Хелмс,6.449
Особенности национальной рыбалки,Россия,Александр Рогожкин,Алексей Булдаков,Виктор Бычков,7.456
Не шутите с Zоханом!,США,Деннис Дуган,Адам Сэндлер,Джон Туртурро,6.593
Мы купили зоопарк,США,Кэмерон Кроу,Мэтт Дэймон,Скарлетт Йоханссон,7.688
Блеф,Италия,Серджио Корбуччи,Адриано Челентано,Энтони Куинн,8.229
Братья Гримм,США,Терри Гиллиам,Мэтт Дэймон,Хит Леджер,7.007
Жестокий романс,СССР,Эльдар Рязанов,Лариса Гузеева,Андрей Мягков,8.112
Однажды в Ирландии,Ирландия,Джон Майкл Макдона,Брендан Глисон,Дон Чидл,7.605
"Кожа, в которой я живу",Испания,Педро Альмодовар,Антонио Бандерас,Елена Анайя,7.374
Сталинград,Россия,Фёдор Бондарчук,Мария Смольникова,Янина Студилина,5.703
"Кловерфилд, 10",США,Дэн Трахтенберг,Джон Гудман,Мэри Элизабет Уинстэд,6.886
Зачётный препод,Германия,Бора Дагтекин,Элиас М’Барек,Каролина Херфурт,7.085
Наркокурьер,США,Клинт Иствуд,Клинт Иствуд,Брэдли Купер,7.284
Миссия «Серенити»,США,Джосс Уидон,Нэйтан Филлион,Джина Торрес,7.245
Повелитель бури,США,Кэтрин Бигелоу,Джереми Реннер,Энтони Маки,7.283
Сестрёнка,Россия,Александр Галибин,Арслан Крымчурин,Марта Кесслер,8.279
Экипаж,США,Роберт Земекис,Дензел Вашингтон,Келли Райлли,7.438
Дитя человеческое,США,Альфонсо Куарон,Клайв Оуэн,Клэр-Хоуп Эшити,7.359
Интуиция,США,Питер Челсом,Джон Кьюсак,Кейт Бекинсейл,7.706
Любовь и другие лекарства,США,Эдвард Цвик,Джейк Джилленхол,Энн Хэтэуэй,6.858
Воздушный маршал,Великобритания,Жауме Кольет-Серра,Лиам Нисон,Джулианна Мур,7.192
Угнать за 60 секунд,США,Доминик Сена,Николас Кейдж,Анджелина Джоли,7.566
Сталкер,СССР,Андрей Тарковский,Александр Кайдановский,Анатолий Солоницын,8.081
Малавита,Франция,Люк Бессон,Роберт Де Ниро,Мишель Пфайффер,6.913
День выборов,Россия,Олег Фомин,Леонид Барац,Ростислав Хаит,7.879
Превосходство Борна,США,Пол Гринграсс,Мэтт Дэймон,Карл Урбан,7.699
Семья по-быстрому,США,Шон Андерс,Марк Уолберг,Роуз Бирн,7.479
Враг государства,США,Тони Скотт,Уилл Смит,Джин Хэкмен,7.827
Вечера на хуторе близ Диканьки,СССР,Александр Роу,Юрий Тавров,Людмила Хитяева,8.098
Я на перемотке!,Россия,Никита Владимиров,Андрей Бурковский,Ксения Теплова,7.589
Роковое число 23,США,Джоэл Шумахер,Джим Керри,Вирджиния Мэдсен,7.137
Плохие парни 2,США,Майкл Бэй,Уилл Смит,Мартин Лоуренс,7.642
Перелом,Германия,Грегори Хоблит,Энтони Хопкинс,Райан Гослинг,7.666
Нокдаун,США,Рон Ховард,Рассел Кроу,Рене Зеллвегер,8.199
Эйс Вентура 2: Когда зовет природа,США,Стив Одекерк,Джим Керри,Иэн МакНис,7.341
Лысый нянька: Спецзадание,США,Адам Шенкман,Вин Дизель,Лорен Грэм,6.669
"Дивергент, глава 3: За стеной",США,Роберт Швентке,Шейлин Вудли,Тео Джеймс,5.591
Блэйд,США,Стивен Норрингтон,Уэсли Снайпс,Стивен Дорфф,7.295
Крепкий орешек 4.0,США,Лен Уайзман,Брюс Уиллис,Джастин Лонг,7.348
Величайший шоумен,США,Майкл Грэйси,Хью Джекман,Мишель Уильямс,7.613
Профессионал,Франция,Жорж Лотнер,Жан-Поль Бельмондо,Жан Дезайи,8.123
Одноклассники,США,Деннис Дуган,Адам Сэндлер,Кевин Джеймс,6.806
Фантастическая четверка,США,Тим Стори,Йоан Гриффит,Джессика Альба,6.673
Нечто,США,Джон Карпентер,Курт Рассел,Кит Дэвид,7.92
Место под соснами,США,Дерек Сиенфрэнс,Райан Гослинг,Брэдли Купер,7.331
Крепкий орешек 2,США,Ренни Харлин,Брюс Уиллис,Бонни Беделиа,7.778
Годзилла против Конга,США,Адам Вингард,Александр Скарсгард,Милли Бобби Браун,6.164
Доктор Сон,США,Майк Флэнаган,Юэн Макгрегор,Ребекка Фергюсон,7.267
Девушка в поезде,США,Тейт Тейлор,Эмили Блант,Хейли Беннетт,6.631
Сладкий ноябрь,США,Пэт О’Коннор,Киану Ривз,Шарлиз Терон,7.741
О чём ещё говорят мужчины,Россия,Дмитрий Дьяченко,Леонид Барац,Александр Демидов,6.801
Счастливого дня смерти,США,Кристофер Лэндон,Джессика Рот,Израэль Бруссар,6.601
Хроники Нарнии: Покоритель Зари,США,Майкл Аптед,Бен Барнс,Скандар Кейнс,6.892
Чёрная дыра,США,Дэвид Туи,Вин Дизель,Рада Митчелл,7.589
Призрачная красота,США,Дэвид Фрэнкел,Уилл Смит,Эдвард Нортон,7.152
На гребне волны,Япония,Кэтрин Бигелоу,Патрик Суэйзи,Киану Ривз,7.835
Судьба человека,СССР,Сергей Бондарчук,Сергей Бондарчук,Павел Полунин,8.411
Ограбление по-итальянски,США,Ф. Гэри Грей,Шарлиз Терон,Марк Уолберг,7.578
Семьянин,США,Бретт Рэтнер,Николас Кейдж,Теа Леони,7.778
Запрещенный прием,США,Зак Снайдер,Эмили Браунинг,Эбби Корниш,6.549
Она – мужчина,США,Энди Фикмен,Аманда Байнс,Ченнинг Татум,6.859
Тот самый Мюнхгаузен  (ТВ),СССР,Марк Захаров,Олег Янковский,Инна Чурикова,8.31
Need for Speed: Жажда скорости,США,Скотт Во,Аарон Пол,Доминик Купер,6.844
Чародеи  (ТВ),СССР,Константин Бромберг,Александра Яковлева,Александр Абдулов,7.974
Монстро,США,Мэтт Ривз,Лиззи Каплан,Джессика Лукас,6.912
Телохранитель жены киллера,Великобритания,Патрик Хьюз,Райан Рейнольдс,Сэмюэл Л. Джексон,6.522
Убийца,США,Дени Вильнёв,Эмили Блант,Бенисио Дель Торо,7.176
К звёздам,США,Джеймс Грэй,Брэд Питт,Томми Ли Джонс,6.432
Комната,Ирландия,Леонард Абрахамсон,Бри Ларсон,Джейкоб Тремблей,7.645
Лев,Австралия,Гарт Дэвис,Дев Патель,Николь Кидман,7.999
Легион,США,Скотт Чарльз Стюарт,Пол Беттани,Лукас Блэк,5.576
Кролик Джоджо,Новая,Тайка Вайтити,Роман Гриффин Дэвис,Томасин Маккензи,7.93
Не дыши,США,Федерико Альварес,Стивен Лэнг,Джейн Леви,6.65
Астерикс и Обеликс против Цезаря,Франция,Клод Зиди,Кристиан Клавье,Жерар Депардье,7.301
Элвин и бурундуки,США,Тим Хилл,Джейсон Ли,Дэвид Кросс,6.239
Человек с бульвара Капуцинов,СССР,Алла Сурикова,Андрей Миронов,Александра Яковлева,8.05
Геошторм,США,Дин Девлин,Джерард Батлер,Джим Стёрджесс,5.782
Эдди «Орёл»,Великобритания,Декстер Флетчер,Тэрон Эджертон,Хью Джекман,7.673
Превосходство,Великобритания,Уолли Пфистер,Джонни Депп,Ребекка Холл,6.523
Служанка,Корея,Пак Чхан-ук,Ким Мин-хи,Ким Тхэ-ри,7.663
Великолепная семерка,США,Антуан Фукуа,Дензел Вашингтон,Крис Пратт,6.832
Римские каникулы,США,Уильям Уайлер,Грегори Пек,Одри Хепберн,8.262
Психо,США,Альфред Хичкок,Энтони Перкинс,Вера Майлз,8.076
Битва Титанов,США,Луи Летерье,Сэм Уортингтон,Мадс Миккельсен,6.089
Легенда о Коловрате,Россия,Джаник Файзиев,Илья Малаков,Александр Цой,6.775
Взаперти,США,Аниш Чаганти,Сара Полсон,Кира Аллен,6.818
Духless,Россия,Роман Прыгунов,Данила Козловский,Мария Андреева,6.646
"Влюбись в меня, если осмелишься",Франция,Ян Самюэль,Гийом Кане,Марион Котийяр,7.7
Проклятие монахини,США,Корин Харди,Демиан Бичир,Таисса Фармига,5.7
Зомби по имени Шон,Великобритания,Эдгар Райт,Саймон Пегг,Ник Фрост,7.368
Непослушная,Россия,Дмитрий Суворов,Александр Петров,Анастасия Резник,5.431
Иностранец,Великобритания,Мартин Кэмпбелл,Джеки Чан,Пирс Броснан,7.23
Судная ночь,США,Джеймс ДеМонако,Итан Хоук,Лина Хиди,5.989
Исход: Цари и боги,Великобритания,Ридли Скотт,Кристиан Бэйл,Джоэл Эдгертон,6.588
Жена путешественника во времени,США,Роберт Швентке,Рэйчел Макадамс,Эрик Бана,7.651
Легенда о Зелёном Рыцаре,США,Дэвид Лоури,Дев Патель,Алисия Викандер,6.194
Синистер,США,Скотт Дерриксон,Итан Хоук,Джульет Райлэнс,6.63
P.S. Я люблю тебя,США,Ричард ЛаГравенес,Хилари Суэнк,Джерард Батлер,7.7
Человек – швейцарский нож,США,Дэн Кван,Пол Дано,Дэниэл Рэдклифф,6.798
Предчувствие,США,Меннан Япо,Сандра Буллок,Джулиан МакМэхон,7.368
12 разгневанных мужчин,США,Сидни Люмет,Генри Фонда,Мартин Болсам,8.519
Завод,Россия,Юрий Быков,Денис Шведов,Андрей Смоляков,7.194
Громкая связь,Россия,Алексей Нужный,Анастасия Уколова,Леонид Барац,6.983
Крым,Россия,Алексей Пиманов,Роман Курцын,Евгения Лапова,2.834
007: СПЕКТР,Великобритания,Сэм Мендес,Дэниэл Крэйг,Кристоф Вальц,6.571
Девять ярдов,США,Джонатан Линн,Брюс Уиллис,Мэттью Перри,7.705
Хористы,Франция,Кристоф Барратье,Жерар Жюньо,Франсуа Берлеан,8.277
Завтрак у Тиффани,США,Блейк Эдвардс,Одри Хепберн,Джордж Пеппард,8.055
Обитель зла 2: Апокалипсис,Германия,Александр Уитт,Милла Йовович,Сиенна Гиллори,6.766
Восхождение Юпитер,США,Лана Вачовски,Ченнинг Татум,Мила Кунис,5.619
Работа без авторства,Германия,Флориан Хенкель фон Доннерсмарк,Том Шиллинг,Себастьян Кох,8.02
Доктор Лиза,Россия,Оксана Карас,Чулпан Хаматова,Анджей Хыра,8.214
Нефть,США,Пол Томас Андерсон,Дэниэл Дэй-Льюис,Пол Дано,7.821
Основной инстинкт,США,Пол Верховен,Майкл Дуглас,Шэрон Стоун,7.742
Парни со стволами,США,Тодд Филлипс,Майлз Теллер,Джона Хилл,6.915
Большой Стэн,США,Роб Шнайдер,Роб Шнайдер,Дэвид Кэрредин,6.889
Темные воды,США,Тодд Хейнс,Марк Руффало,Энн Хэтэуэй,7.772
Клятва,США,Майкл Сакси,Рэйчел Макадамс,Ченнинг Татум,7.515
Разрисованная вуаль,США,Джон Кёрран,Наоми Уоттс,Эдвард Нортон,7.912
Потрошители,США,Мигель Сапочник,Джуд Лоу,Форест Уитакер,7.05
Планета обезьян: Война,США,Мэтт Ривз,Энди Серкис,Вуди Харрельсон,7.034
День радио,Россия,Дмитрий Дьяченко,Ростислав Хаит,Камиль Ларин,7.626
Пингвины мистера Поппера,США,Марк Уотерс,Джим Керри,Карла Гуджино,6.822
Дюплекс,США,Дэнни ДеВито,Бен Стиллер,Дрю Бэрримор,7.063
Чёрная Молния,Россия,Александр Войтинский,Григорий Добрыгин,Иван Жидков,5.343
Золотой телёнок,СССР,Михаил Швейцер,Сергей Юрский,Леонид Куравлёв,8.202
Миссия невыполнима: Племя изгоев,США,Кристофер МакКуорри,Том Круз,Ребекка Фергюсон,7.091
Семейный бюджет,Россия,Евгений Абызов,Юлия Александрова,Антон Филипенко,6.294
